N11,19151521,1
N11,19151522,1
N11,19151529,1
N11,19151530,1
N11,19151532,1
N11,19151531,1
N11,19151535,1
N11,19152139,1
N11,19163748,1
N11,19151517,1
N11,19151519,1
N11,19151528,1
N11,19151534,1
N01,19151177,1
NC4,19152808,1
NC4,19152856,1
N11,19154428,1
N11,19154432,1
N11,19163735,1
N11,19163742,1
APL,19163771,1
N04,19163719,1
APL,19152174,1
N11,19037934,1
N11,19092354,1
N11,19163718,1
N11,19173409,1
N11,19165382,1
N11,19048477,1
N11,19152759,1
N11,19038679,1
N11,19048957,1
N11,19080586,1
N11,19076472,1
N11,19129070,1
N11,19152138,1
N06,18994433,8001
N11,19073594,1
N11,19151523,1
N11,19151525,1
N11,19152122,1
N11,19152125,1
N06,19153187,1
N11,19154427,1
N11,19154441,1
N11,19154445,1
N11,19154449,1
N11,19163732,1
N11,19152132,1
N06,19160944,1
N11,19152124,1
N06,18994194,8001
N06,19164172,1
N04,18973003,8001
N11,19082591,1
N11,19151533,1
N11,19154446,1
N11,19152134,1
N11,19088284,1
N11,19154426,1
N11,19151520,1
N11,19163730,1
N11,19151527,1
N11,19152133,1
